DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de notificação e Mês notificação
Período:2015
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";4;-;3;1;-;-;1;-;2;4;14;72;101
"110037 Alto Alegre dos Parecis";4;4;-;-;-;-;-;-;-;-;2;2;12
"110040 Alto Paraíso";-;-;-;-;-;-;-;-;-;-;-;1;1
"110034 Alvorada D'Oeste";4;7;9;5;4;2;2;1;1;-;-;-;35
"110002 Ariquemes";8;1;7;3;-;-;-;-;-;1;1;-;21
"110045 Buritis";18;20;26;15;10;4;7;1;3;6;19;40;169
"110003 Cabixi";1;-;5;36;39;22;-;-;-;-;5;16;124
"110060 Cacaulândia";-;3;10;-;-;1;-;-;-;-;-;-;14
"110004 Cacoal";4;1;2;8;11;2;3;-;-;1;4;18;54
"110070 Campo Novo de Rondônia";4;1;-;1;1;2;-;-;-;-;2;17;28
"110080 Candeias do Jamari";-;-;-;5;5;-;-;1;-;-;-;23;34
"110090 Castanheiras";-;1;2;1;-;-;-;-;-;-;-;-;4
"110005 Cerejeiras";3;1;8;7;-;7;2;3;2;2;1;6;42
"110092 Chupinguaia";2;4;2;26;4;1;4;-;-;3;2;-;48
"110006 Colorado do Oeste";-;2;1;-;2;2;-;1;1;-;-;2;11
"110007 Corumbiara";2;10;3;1;-;2;-;-;-;-;-;-;18
"110008 Costa Marques";-;1;3;6;-;-;-;-;-;-;-;-;10
"110094 Cujubim";-;-;-;1;1;-;-;-;-;-;-;-;2
"110009 Espigão D'Oeste";4;6;8;10;17;-;4;18;14;32;19;149;281
"110100 Governador Jorge Teixeira";-;1;-;-;-;2;-;-;-;-;-;-;3
"110010 Guajará-Mirim";-;2;-;-;2;-;-;-;-;2;1;7;14
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;-;-;1;-;5;6
