"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";1;-;1;-;-;-;-;-;-;-;-;-;2
"110037 Alto Alegre dos Parecis";-;1;1;-;-;-;-;-;-;-;-;-;2
"110040 Alto Paraíso";2;1;1;-;-;-;-;-;-;1;-;-;5
"110002 Ariquemes";3;-;1;-;2;-;-;2;-;-;-;-;8
"110045 Buritis";25;14;10;17;13;4;5;2;7;4;2;7;110
"110003 Cabixi";-;3;-;-;-;-;-;-;-;-;1;-;4
"110004 Cacoal";2;-;1;4;4;5;1;3;3;4;5;1;33
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;-;2;1;-;1;-;4
"110080 Candeias do Jamari";-;1;1;2;2;-;-;-;-;-;-;-;6
"110005 Cerejeiras";1;2;-;1;3;1;1;-;-;-;1;-;10
"110006 Colorado do Oeste";5;1;-;3;2;-;-;1;1;-;2;1;16
"110094 Cujubim";-;1;-;-;-;-;-;-;-;-;-;-;1
"110009 Espigão D'Oeste";4;-;2;1;3;2;6;1;2;13;7;-;41
"110100 Governador Jorge Teixeira";-;1;-;-;-;-;-;-;-;-;-;-;1
"110010 Guajará-Mirim";15;14;2;7;4;1;2;1;1;-;-;1;48
"110110 Itapuã do Oeste";-;-;-;-;-;-;1;-;-;-;-;-;1
"110011 Jaru";-;-;-;-;1;-;-;-;-;-;-;-;1
"110012 Ji-Paraná";7;6;2;2;1;2;1;2;1;2;1;1;28
"110013 Machadinho D'Oeste";2;1;1;1;1;-;-;-;-;-;-;-;6
"110140 Monte Negro";-;1;-;-;-;1;-;-;-;1;1;-;4
"110014 Nova Brasilândia D'Oeste";-;-;-;-;3;1;-;-;-;-;-;-;4
"110033 Nova Mamoré";-;-;1;-;-;1;-;-;-;-;-;-;2
"110143 Nova União";-;1;-;-;-;-;-;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";1;-;-;-;1;-;3;-;-;1;-;1;7
"110145 Parecis";-;-;-;1;-;-;1;1;-;-;-;-;3
"110018 Pimenta Bueno";1;2;-;-;1;-;-;1;-;-;-;-;5
"110146 Pimenteiras do Oeste";-;-;-;2;3;-;-;-;-;-;-;-;5
"110020 Porto Velho";15;23;17;8;10;7;4;7;1;8;10;4;114
