"municipio";"populacao"
"110001 Alta Floresta D'Oeste";24066
"110037 Alto Alegre dos Parecis";13170
"110040 Alto Paraíso";19258
"110034 Alvorada D'Oeste";15989
"110002 Ariquemes";99278
"110045 Buritis";36023
"110003 Cabixi";5951
"110060 Cacaulândia";6029
"110004 Cacoal";82595
"110070 Campo Novo de Rondônia";13482
"110080 Candeias do Jamari";23098
"110090 Castanheiras";3390
"110005 Cerejeiras";16936
"110092 Chupinguaia";9684
"110006 Colorado do Oeste";17631
"110007 Corumbiara";8280
"110008 Costa Marques";15916
"110094 Cujubim";20207
"110009 Espigão D'Oeste";30715
"110100 Governador Jorge Teixeira";9431
"110010 Guajará-Mirim";44196
"110110 Itapuã do Oeste";9515
"110011 Jaru";52575
"110012 Ji-Paraná";123592
"110013 Machadinho D'Oeste";35461
"110120 Ministro Andreazza";10179
"110130 Mirante da Serra";11619
"110140 Monte Negro";15054
"110014 Nova Brasilândia D'Oeste";20397
"110033 Nova Mamoré";26398
"110143 Nova União";7358
"110050 Novo Horizonte do Oeste";9618
"110015 Ouro Preto do Oeste";37579
"110145 Parecis";5432
"110018 Pimenta Bueno";35516
"110146 Pimenteiras do Oeste";2281
"110020 Porto Velho";478816
"110025 Presidente Médici";21130
"110147 Primavera de Rondônia";3274
"110026 Rio Crespo";3557
"110028 Rolim de Moura";53256
"110029 Santa Luzia D'Oeste";7941
"110148 São Felipe D'Oeste";5721
"110149 São Francisco do Guaporé";18117
"110032 São Miguel do Guaporé";22631
"110150 Seringueiras";11880
"110155 Teixeirópolis";4694
"110160 Theobroma";10696
"110170 Urupá";12474
"110175 Vale do Anari";10312
"110180 Vale do Paraíso";7702
"110030 Vilhena";87666
"120001 Acrelândia";14069
"120005 Assis Brasil";6826
"120010 Brasiléia";24120
"120013 Bujari";9486
"120017 Capixaba";10339
"120020 Cruzeiro do Sul";84845
"120025 Epitaciolândia";16960
"120030 Feijó";34254
"120032 Jordão";7523
"120033 Mâncio Lima";17277
"120034 Manoel Urbano";8841
"120035 Marechal Thaumaturgo";16670
"120038 Plácido de Castro";18774
"120080 Porto Acre";16877
"120039 Porto Walter";10667
"120040 Rio Branco";376348
"120042 Rodrigues Alves";16791
"120043 Santa Rosa do Purus";5642
"120050 Sena Madureira";42478
"120045 Senador Guiomard";21948
"120060 Tarauacá";39599
"120070 Xapuri";17939
"130002 Alvarães";15122
"130006 Amaturá";10502
"130008 Anamã";11858
"130010 Anori";18610
"130014 Apuí";19990
"130020 Atalaia do Norte";17467
"130030 Autazes";35833
"130040 Barcelos";26802
"130050 Barreirinha";29765
"130060 Benjamin Constant";38089
"130063 Beruri";17544
"130068 Boa Vista do Ramos";17047
"130070 Boca do Acre";32622
"130080 Borba";38136
"130083 Caapiranga";12044
"130090 Canutama";14716
"130100 Carauari";27191
"130110 Careiro";35405
"130115 Careiro da Várzea";27027
"130120 Coari";80908
"130130 Codajás";25906
"130140 Eirunepé";33076
"130150 Envira";18181
"130160 Fonte Boa";20719
"130165 Guajará";15345
"130170 Humaitá";49599
"130180 Ipixuna";25847
"130185 Iranduba";44612
"130190 Itacoatiara";94319
"130195 Itamarati";8042
"130200 Itapiranga";8723
"130210 Japurá";5346
"130220 Juruá";12681
"130230 Jutaí";16532
"130240 Lábrea";41882
"130250 Manacapuru";91583
"130255 Manaquiri";27242
"130260 Manaus";1993222
"130270 Manicoré";51465
"130280 Maraã";18033
"130290 Maués";58063
"130300 Nhamundá";19782
"130310 Nova Olinda do Norte";34041
"130320 Novo Airão";17015
"130330 Novo Aripuanã";23574
"130340 Parintins";108661
"130350 Pauini";18932
"130353 Presidente Figueiredo";31573
"130356 Rio Preto da Eva";29437
"130360 Santa Isabel do Rio Negro";21502
"130370 Santo Antônio do Içá";23451
"130380 São Gabriel da Cachoeira";41764
"130390 São Paulo de Olivença";35314
"130395 São Sebastião do Uatumã";12316
"130400 Silves";8864
"130406 Tabatinga";58958
"130410 Tapauá";17883
"130420 Tefé";61400
"130423 Tonantins";18020
"130426 Uarini";12763
"130430 Urucará";16903
"130440 Urucurituba";20387
"140005 Alto Alegre";16186
"140002 Amajari";10896
"140010 Boa Vista";318284
"140015 Bonfim";11683
"140017 Cantá";15999
"140020 Caracaraí";20135
"140023 Caroebe";9095
"140028 Iracema";10213
"140030 Mucajaí";16273
"140040 Normandia";10068
"140045 Pacaraima";11810
"140047 Rorainópolis";27087
"140050 São João da Baliza";7466
"140060 São Luiz";7362
"140070 Uiramutã";9413
"150010 Abaetetuba";150565
"150013 Abel Figueiredo";7169
"150020 Acará";55193
"150030 Afuá";37417
"150034 Água Azul do Norte";26473
"150040 Alenquer";55223
"150050 Almeirim";34277
"150060 Altamira";107499
"150070 Anajás";27158
"150080 Ananindeua";505066
"150085 Anapu";24190
"150090 Augusto Corrêa";43553
"150095 Aurora do Pará";29095
"150100 Aveiro";16302
"150110 Bagre";27306
"150120 Baião";42221
"150125 Bannach";3409
"150130 Barcarena";112574
"150140 Belém";1457159
"150145 Belterra";17180
"150150 Benevides";57421
"150157 Bom Jesus do Tocantins";16270
"150160 Bonito";15029
"150170 Bragança";121347
"150172 Brasil Novo";15615
"150175 Brejo Grande do Araguaia";7441
"150178 Breu Branco";59410
"150180 Breves";98591
"150190 Bujaru";27609
"150200 Cachoeira do Arari";22238
"150195 Cachoeira do Piriá";30239
"150210 Cametá";130282
"150215 Canaã dos Carajás";31833
"150220 Capanema";66942
"150230 Capitão Poço";53674
"150240 Castanhal";188112
"150250 Chaves";22525
"150260 Colares";11853
"150270 Conceição do Araguaia";47208
"150275 Concórdia do Pará";30929
"150276 Cumaru do Norte";11985
"150277 Curionópolis";18360
"150280 Curralinho";31633
"150285 Curuá";13397
"150290 Curuçá";37394
"150293 Dom Eliseu";55849
"150295 Eldorado do Carajás";33128
"150300 Faro";7830
"150304 Floresta do Araguaia";19165
"150307 Garrafão do Norte";25833
"150309 Goianésia do Pará";37344
"150310 Gurupá";31423
"150320 Igarapé-Açu";37695
"150330 Igarapé-Miri";60956
"150340 Inhangapi";10938
"150345 Ipixuna do Pará";55943
"150350 Irituia";32316
"150360 Itaituba";100483
"150370 Itupiranga";52826
"150375 Jacareacanga";11587
"150380 Jacundá";55612
"150390 Juruti";52691
"150400 Limoeiro do Ajuru";27146
"150405 Mãe do Rio";29266
"150410 Magalhães Barata";8420
"150420 Marabá";257715
"150430 Maracanã";29248
"150440 Marapanim";27746
"150442 Marituba";120358
"150445 Medicilândia";29646
"150450 Melgaço";26439
"150460 Mocajuba";29104
"150470 Moju";76482
"150475 Mojuí dos Campos";15569
"150480 Monte Alegre";57363
"150490 Muaná";37475
"150495 Nova Esperança do Piriá";20976
"150497 Nova Ipixuna";15770
"150500 Nova Timboteua";14626
"150503 Novo Progresso";25743
"150506 Novo Repartimento";69236
"150510 Óbidos";51262
"150520 Oeiras do Pará";30768
"150530 Oriximiná";68348
"150540 Ourém";17227
"150543 Ourilândia do Norte";30231
"150548 Pacajá";44052
"150549 Palestina do Pará";7624
"150550 Paragominas";106138
"150553 Parauapebas";180917
"150555 Pau D'Arco";5858
"150560 Peixe-Boi";8058
"150563 Piçarra";12992
"150565 Placas";27487
"150570 Ponta de Pedras";28675
"150580 Portel";57390
"150590 Porto de Moz";37699
"150600 Prainha";29967
"150610 Primavera";10657
"150611 Quatipuru";13122
"150613 Redenção";80782
"150616 Rio Maria";18155
"150618 Rondon do Pará";50054
"150619 Rurópolis";45402
"150620 Salinópolis";39403
"150630 Salvaterra";22087
"150635 Santa Bárbara do Pará";19175
"150640 Santa Cruz do Arari";9169
"150650 Santa Izabel do Pará";65452
"150655 Santa Luzia do Pará";19871
"150658 Santa Maria das Barreiras";19381
"150660 Santa Maria do Pará";24168
"150670 Santana do Araguaia";64548
"150680 Santarém";294833
"150690 Santarém Novo";6482
"150700 Santo Antônio do Tauá";29232
"150710 São Caetano de Odivelas";17643
"150715 São Domingos do Araguaia";24546
"150720 São Domingos do Capim";31219
"150730 São Félix do Xingu";109613
"150740 São Francisco do Pará";15633
"150745 São Geraldo do Araguaia";25578
"150746 São João da Ponta";5735
"150747 São João de Pirabas";22018
"150750 São João do Araguaia";13713
"150760 São Miguel do Guamá";55648
"150770 São Sebastião da Boa Vista";24920
"150775 Sapucaia";5518
"150780 Senador José Porfírio";12576
"150790 Soure";24391
"150795 Tailândia";92767
"150796 Terra Alta";11066
"150797 Terra Santa";18006
"150800 Tomé-Açu";60438
"150803 Tracuateua";29423
"150805 Trairão";18066
"150808 Tucumã";36847
"150810 Tucuruí";105993
"150812 Ulianópolis";51204
"150815 Uruará";45685
"150820 Vigia";51176
"150830 Viseu";59607
"150835 Vitória do Xingu";14389
"150840 Xinguara";43021
"160010 Amapá";8700
"160020 Calçoene";10132
"160021 Cutias";5368
"160023 Ferreira Gomes";6807
"160025 Itaubal";4907
"160027 Laranjal do Jari";45448
"160030 Macapá";453442
"160040 Mazagão";19441
"160050 Oiapoque";23958
"160015 Pedra Branca do Amapari";13560
"160053 Porto Grande";19465
"160055 Pracuúba";4465
"160060 Santana";112337
"160005 Serra do Navio";4925
"160070 Tartarugalzinho";14949
"160080 Vitória do Jari";14252
"170025 Abreulândia";2504
"170030 Aguiarnópolis";5933
"170035 Aliança do Tocantins";5610
"170040 Almas";7434
"170070 Alvorada";8489
"170100 Ananás";9838
"170105 Angico";3326
"170110 Aparecida do Rio Negro";4526
"170130 Aragominas";5895
"170190 Araguacema";6739
"170200 Araguaçu";8767
"170210 Araguaína";165810
"170215 Araguanã";5405
"170220 Araguatins";33700
"170230 Arapoema";6776
"170240 Arraias";10734
"170255 Augustinópolis";17251
"170270 Aurora do Tocantins";3627
"170290 Axixá do Tocantins";9601
"170300 Babaçulândia";10655
"170305 Bandeirantes do Tocantins";3353
"170307 Barra do Ouro";4383
"170310 Barrolândia";5540
"170320 Bernardo Sayão";4509
"170330 Bom Jesus do Tocantins";4321
"170360 Brasilândia do Tocantins";2150
"170370 Brejinho de Nazaré";5387
"170380 Buriti do Tocantins";10597
"170382 Cachoeirinha";2231
"170384 Campos Lindos";9129
"170386 Cariri do Tocantins";4083
"170388 Carmolândia";2462
"170389 Carrasco Bonito";3915
"170390 Caseara";5002
"170410 Centenário";2749
"170510 Chapada da Natividade";3341
"170460 Chapada de Areia";1383
"170550 Colinas do Tocantins";33273
"171670 Colméia";8528
"170555 Combinado";4807
