regiao,data,n
Norte,01/03/2019,31653
Norte,01/04/2019,40615
Norte,01/05/2019,44803
Norte,01/06/2019,38543
Norte,01/07/2019,42933
Norte,01/08/2019,37769
Norte,01/09/2019,44853
Norte,01/10/2019,44102
Norte,01/11/2019,43180
Norte,01/12/2019,45658
Norte,01/01/2020,36225
Norte,01/02/2020,30204
Norte,01/03/2020,38208
Norte,01/04/2020,26527
Norte,01/05/2020,11539
Norte,01/06/2020,8854
Norte,01/07/2020,8292
Norte,01/08/2020,10849
Norte,01/09/2020,15879
Norte,01/10/2020,24816
Norte,01/11/2020,31354
Norte,01/12/2020,31837
Norte,01/01/2021,27908
Norte,01/02/2021,20982
Nordeste,01/03/2019,165528
Nordeste,01/04/2019,175168
Nordeste,01/05/2019,177387
Nordeste,01/06/2019,169138
Nordeste,01/07/2019,188867
Nordeste,01/08/2019,195096
Nordeste,01/09/2019,202912
Nordeste,01/10/2019,207466
Nordeste,01/11/2019,202162
Nordeste,01/12/2019,186137
Nordeste,01/01/2020,158003
Nordeste,01/02/2020,149393
Nordeste,01/03/2020,155933
Nordeste,01/04/2020,76610
Nordeste,01/05/2020,28115
Nordeste,01/06/2020,18556
Nordeste,01/07/2020,31571
Nordeste,01/08/2020,60694
Nordeste,01/09/2020,100668
Nordeste,01/10/2020,131660
Nordeste,01/11/2020,158732
Nordeste,01/12/2020,140219
Nordeste,01/01/2021,113275
Nordeste,01/02/2021,116532
Sudeste,01/03/2019,167599
Sudeste,01/04/2019,184487
Sudeste,01/05/2019,195582
Sudeste,01/06/2019,170801
Sudeste,01/07/2019,175799
Sudeste,01/08/2019,183068
Sudeste,01/09/2019,199435
Sudeste,01/10/2019,206392
Sudeste,01/11/2019,204159
Sudeste,01/12/2019,190958
Sudeste,01/01/2020,170951
Sudeste,01/02/2020,152118
Sudeste,01/03/2020,172684
Sudeste,01/04/2020,100569
Sudeste,01/05/2020,39856
Sudeste,01/06/2020,32891
Sudeste,01/07/2020,41460
Sudeste,01/08/2020,56972
Sudeste,01/09/2020,87280
Sudeste,01/10/2020,124033
Sudeste,01/11/2020,154177
Sudeste,01/12/2020,154723
Sudeste,01/01/2021,167173
Sudeste,01/02/2021,127288
Sul ,01/03/2019,117793
Sul ,01/04/2019,135084
Sul ,01/05/2019,138106
Sul ,01/06/2019,125929
Sul ,01/07/2019,136317
Sul ,01/08/2019,124101
Sul ,01/09/2019,132881
Sul ,01/10/2019,156670
Sul ,01/11/2019,173246
Sul ,01/12/2019,158477
Sul ,01/01/2020,115904
Sul ,01/02/2020,104221
Sul ,01/03/2020,118971
Sul ,01/04/2020,68873
Sul ,01/05/2020,29469
Sul ,01/06/2020,33284
Sul ,01/07/2020,42472
Sul ,01/08/2020,43304
Sul ,01/09/2020,52117
Sul ,01/10/2020,87828
Sul ,01/11/2020,125297
Sul ,01/12/2020,121534
Sul ,01/01/2021,113588
Sul ,01/02/2021,95183
Centro-Oeste,01/03/2019,42893
Centro-Oeste,01/04/2019,50971
Centro-Oeste,01/05/2019,48615
Centro-Oeste,01/06/2019,41826
Centro-Oeste,01/07/2019,44316
Centro-Oeste,01/08/2019,41414
Centro-Oeste,01/09/2019,53104
Centro-Oeste,01/10/2019,50862
Centro-Oeste,01/11/2019,56551
Centro-Oeste,01/12/2019,47337
Centro-Oeste,01/01/2020,36187
Centro-Oeste,01/02/2020,34454
Centro-Oeste,01/03/2020,43139
Centro-Oeste,01/04/2020,23903
Centro-Oeste,01/05/2020,9454
Centro-Oeste,01/06/2020,10217
Centro-Oeste,01/07/2020,11167
Centro-Oeste,01/08/2020,10301
Centro-Oeste,01/09/2020,14818
Centro-Oeste,01/10/2020,23631
Centro-Oeste,01/11/2020,38213
Centro-Oeste,01/12/2020,36125
Centro-Oeste,01/01/2021,29189
Centro-Oeste,01/02/2021,27743
